Individual,Total_Sent,Average_Sent,Count_Sent,Total_Received,Average_Received,Count_Received
16,0.17880426835855828,1.5857546128933941,0.17965058257760821,-1.524242617833124,-2.0274498436610755,-1.5230192477004287
40,0.1854847384638223,1.614412259612239,0.17965058257760821,0.8122843663731708,0.49198321279927876,0.8122769321068953
43,0.17947632184177306,1.5886375643915174,0.17965058257760821,-0.35080252784244564,0.5031468688802967,-0.35537115779676676
46,4.305332849478055,1.5851663183034994,4.311613981862597,-1.524242617833124,-2.0274498436610755,-1.5230192477004287
58,4.832499356175007,1.5900280340756123,4.828109406773221,-1.524242617833124,-2.0274498436610755,-1.5230192477004287
64,0.1784915050067545,1.5844129316192677,0.17965058257760821,-1.524242617833124,-2.0274498436610755,-1.5230192477004287
70,0.17951897138974635,1.5888205209288984,0.17965058257760821,-1.524242617833124,-2.0274498436610755,-1.5230192477004287
72,0.17868665899899572,1.5852500963812224,0.17965058257760821,-1.524242617833124,-2.0274498436610755,-1.5230192477004287
79,0.18435517164780357,1.6095666834403934,0.17965058257760821,-0.3599988766855314,0.4833143692510388,-0.35537115779676676
82,0.17967923029728222,1.5895079939784509,0.17965058257760821,-0.35994629273407786,0.4834277698207108,-0.35537115779676676
84,0.18383303778776744,1.607326851891851,0.17965058257760821,-1.524242617833124,-2.0274498436610755,-1.5230192477004287
90,0.18151962291285495,1.5974028457733116,0.17965058257760821,-1.524242617833124,-2.0274498436610755,-1.5230192477004287
93,0.1787990987163797,1.5857324363434084,0.17965058257760821,-1.524242617833124,-2.0274498436610755,-1.5230192477004287
4,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.8074466428394509,0.4867667865943785,0.8122769321068953
5,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.35497418799108815,0.4941504236863383,-0.35537115779676676
7,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.8121850411315362,0.4918761122612551,0.8122769321068953
11,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.34051944400265477,0.5253229802827702,-0.35537115779676676
12,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.35620698951960844,0.49149181033070105,-0.35537115779676676
17,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.8206043160253649,0.5009544578666429,0.8122769321068953
18,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.831062679703334,0.5122315145173325,0.8122769321068953
19,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.36255796232293386,0.4777955415270143,-0.35537115779676676
27,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.3589705683015522,0.4855319803912864,-0.35537115779676676
30,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.8061729426820221,0.48539337969502067,0.8122769321068953
31,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.3504402828435439,0.5039280728047022,-0.35537115779676676
32,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.33766822530162194,0.531471811171638,-0.35537115779676676
34,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.8063131665525648,0.485544580454583,0.8122769321068953
38,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.3594496665259061,0.484498775200944,-0.35537115779676676
41,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.8077972025158074,0.48714478849328435,0.8122769321068953
45,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.36288515135419985,0.47708993798239036,-0.35537115779676676
49,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.8385296008097278,0.5202829549640262,0.8122769321068953
54,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.35831619023902,0.48694318748053467,-0.35537115779676676
55,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.814054692738771,0.4938921223887531,0.8122769321068953
59,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.8041513818816997,0.48321356874466387,0.8122769321068953
60,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.361108982327327,0.48092035722463544,-0.35537115779676676
61,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.3575215883059453,0.4886567960889076,-0.35537115779676676
63,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.811367068553371,0.49099410783047504,0.8122769321068953
66,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,1.9717429679384972,0.4856537810031558,1.9799250220105573
67,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,1.9741267737377215,0.4873673896115291,1.9799250220105573
68,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.7983905178669078,0.4770017375393119,0.8122769321068953
73,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.812056502583539,0.49173751156499007,0.8122769321068953
76,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.8334231148574679,0.5147767273032986,0.8122769321068953
81,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,1.9742728402695369,0.48747239013900284,1.9799250220105573
86,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.35641148266414974,0.491050808115311,-0.35537115779676676
87,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,-0.34988523002264604,0.5051250788179039,-0.35537115779676676
88,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.8083055140465242,0.4876928912466977,0.8122769321068953
94,-0.33716608579014556,-0.6276369439282748,-0.3368448423330154,0.8115598763753673,0.4912020088748733,0.8122769321068953
